Dia;       Wednesday, 06. July 2022;  Hora de Inicio;    15:52:49
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
15:56:42; 28.40; 36.00;  1
15:56:43; 28.40; 36.00;  1
15:56:44; 28.40; 36.00;  1
15:56:45; 28.40; 37.00;  1
15:56:46; 28.40; 37.00;  1
15:56:47; 28.40; 37.00;  1
15:56:48; 28.40; 37.00;  1
15:56:49; 28.40; 37.00;  1
15:56:50; 28.40; 37.00;  1
15:56:51; 28.40; 37.00;  1
15:56:52; 28.40; 37.00;  1
15:56:53; 28.40; 37.00;  1
15:56:54; 28.40; 37.00;  1
15:56:56; 28.40; 37.00;  1
15:56:57; 28.40; 37.00;  1
15:56:58; 28.40; 37.00;  1
15:56:59; 28.40; 37.00;  1
15:57:00; 28.40; 37.00;  1
15:57:01; 28.40; 37.00;  1
15:57:02; 28.40; 37.00;  1
15:57:03; 28.40; 37.00;  1
15:57:04; 28.40; 37.00;  1
15:57:05; 28.40; 37.00;  1
15:57:06; 28.40; 37.00;  1
15:57:07; 28.40; 37.00;  1
15:57:08; 28.40; 37.00;  1
15:57:09; 28.40; 37.00;  1
15:57:10; 28.40; 37.00;  1
15:57:11; 28.40; 37.00;  1
15:57:12; 28.40; 37.00;  1
15:57:13; 28.40; 37.00;  1
15:57:14; 28.40; 37.00;  1
15:57:15; 28.40; 37.00;  1
15:57:16; 28.40; 37.00;  1
15:57:17; 28.40; 37.00;  1
15:57:18; 28.40; 37.00;  1
15:57:19; 28.40; 37.00;  1
15:57:20; 28.40; 37.00;  1
15:57:21; 28.40; 37.00;  1
15:57:22; 28.40; 37.00;  1
15:57:23; 28.40; 37.00;  1
15:57:24; 28.40; 37.00;  1
15:57:25; 28.40; 37.00;  1
15:57:26; 28.40; 37.00;  1
15:57:27; 28.40; 37.00;  1
15:57:28; 28.40; 37.00;  1
15:57:29; 28.40; 37.00;  1
15:57:30; 28.40; 37.00;  1
15:57:31; 28.40; 37.00;  1
15:57:32; 28.40; 37.00;  1
15:57:33; 28.40; 37.00;  1
15:57:34; 28.40; 37.00;  1
15:57:35; 28.40; 37.00;  1
15:57:36; 28.40; 37.00;  1
15:57:37; 28.40; 37.00;  1
15:57:38; 28.40; 37.00;  1
15:57:39; 28.40; 37.00;  1
15:57:40; 28.40; 37.00;  1
15:57:41; 28.40; 37.00;  1
15:57:42; 28.40; 37.00;  1
15:57:43; 28.40; 37.00;  1
15:57:44; 28.40; 37.00;  1
15:57:45; 28.40; 37.00;  1
15:57:46; 28.40; 37.00;  1
15:57:47; 28.40; 37.00;  1
15:57:48; 28.40; 37.00;  1
15:57:49; 28.40; 37.00;  1
15:57:50; 28.40; 37.00;  1
15:57:51; 28.40; 37.00;  1
15:57:52; 28.40; 37.00;  1
15:57:53; 28.40; 37.00;  1
15:57:54; 28.40; 37.00;  1
15:57:55; 28.40; 37.00;  1
15:57:56; 28.40; 37.00;  1
15:57:57; 28.40; 37.00;  1
15:57:58; 28.40; 37.00;  1
15:57:59; 28.40; 37.00;  1
15:58:00; 28.40; 37.00;  1
15:58:01; 28.40; 37.00;  1
15:58:02; 28.40; 37.00;  1
15:58:03; 28.40; 37.00;  1
15:58:04; 28.40; 37.00;  1
15:58:05; 28.40; 37.00;  1
15:58:06; 28.40; 37.00;  1
15:58:07; 28.40; 37.00;  1
15:58:08; 28.40; 37.00;  1
15:58:09; 28.40; 37.00;  1
15:58:10; 28.40; 37.00;  1
15:58:11; 28.40; 37.00;  1
15:58:12; 28.40; 37.00;  1
15:58:13; 28.40; 37.00;  1
15:58:15; 28.40; 37.00;  1
15:58:16; 28.40; 37.00;  1
15:58:17; 28.40; 37.00;  1
15:58:18; 28.40; 37.00;  1
15:58:19; 28.40; 37.00;  1
15:58:20; 28.40; 37.00;  1
15:58:21; 28.40; 37.00;  1
15:58:22; 28.40; 37.00;  1
15:58:23; 28.40; 37.00;  1
15:58:24; 28.40; 37.00;  1
15:58:25; 28.40; 37.00;  1
15:58:26; 28.40; 37.00;  1
15:58:27; 28.40; 37.00;  1
15:58:28; 28.40; 37.00;  1
15:58:29; 28.40; 37.00;  1
15:58:30; 28.40; 37.00;  1
15:58:31; 28.40; 37.00;  1
15:58:32; 28.40; 37.00;  1
15:58:33; 28.40; 37.00;  1
15:58:34; 28.40; 37.00;  1
15:58:35; 28.40; 37.00;  1
15:58:36; 28.40; 37.00;  1
15:58:37; 28.40; 37.00;  1
15:58:38; 28.40; 37.00;  1
15:58:39; 28.40; 37.00;  1
15:58:40; 28.40; 37.00;  1
15:58:41; 28.40; 37.00;  1
15:58:42; 28.40; 37.00;  1
15:58:43; 28.40; 37.00;  1
15:58:44; 28.40; 37.00;  1
15:58:45; 28.40; 37.00;  1
15:58:46; 28.40; 37.00;  1
15:58:47; 28.40; 37.00;  1
15:58:48; 28.40; 37.00;  1
15:58:49; 28.40; 37.00;  1
15:58:50; 28.40; 37.00;  1
15:58:51; 28.40; 37.00;  1
15:58:52; 28.40; 37.00;  1
15:58:53; 28.40; 37.00;  1
15:58:54; 28.40; 37.00;  1
15:58:55; 28.40; 37.00;  1
15:58:56; 28.40; 37.00;  1
15:58:57; 28.40; 37.00;  1
15:58:58; 28.40; 37.00;  1
15:58:59; 28.40; 37.00;  1
15:59:00; 28.40; 37.00;  1
15:59:01; 28.40; 37.00;  1
15:59:02; 28.40; 37.00;  1
15:59:03; 28.40; 37.00;  1
15:59:04; 28.40; 37.00;  1
15:59:05; 28.40; 37.00;  1
15:59:06; 28.40; 37.00;  1
15:59:07; 28.40; 37.00;  1
15:59:08; 28.40; 37.00;  1
15:59:09; 28.40; 37.00;  1
