Dia;       Friday, 03. February 2023;  Hora de Inicio;    07:34:33
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
08:28:00; 21.00; 28.00;  0
08:28:10; 20.90; 28.00;  0
08:28:20; 20.90; 28.00;  0
08:28:31; 20.90; 28.00;  0
08:28:42; 21.00; 28.00;  0
08:28:52; 21.00; 28.00;  0
08:29:03; 21.00; 28.00;  0
08:29:13; 21.00; 28.00;  0
08:29:23; 21.00; 28.00;  0
08:29:33; 21.00; 28.00;  0
08:29:44; 21.00; 28.00;  0
08:29:54; 21.00; 28.00;  0
08:30:04; 21.00; 28.00;  0
08:30:14; 21.00; 28.00;  0
08:30:25; 21.00; 28.00;  0
08:30:35; 21.00; 28.00;  0
08:30:46; 21.00; 28.00;  0
08:30:56; 21.00; 28.00;  0
08:31:06; 21.00; 28.00;  0
08:31:16; 21.00; 28.00;  0
08:31:27; 21.20; 28.00;  0
08:31:37; 21.10; 28.00;  0
08:31:48; 21.10; 28.00;  0
08:31:58; 21.10; 28.00;  0
08:32:09; 21.10; 28.00;  0
08:32:19; 21.10; 28.00;  0
08:32:29; 21.10; 28.00;  0
08:32:39; 21.10; 28.00;  0
08:32:50; 21.10; 28.00;  0
08:33:00; 21.10; 28.00;  0
08:33:10; 21.20; 28.00;  0
08:33:20; 21.20; 27.00;  0
08:33:31; 21.20; 27.00;  0
08:33:42; 21.20; 28.00;  0
08:33:52; 21.20; 28.00;  0
08:34:03; 21.20; 28.00;  0
08:34:13; 21.20; 28.00;  0
08:34:23; 21.20; 28.00;  0
08:34:33; 21.20; 27.00;  0
08:34:44; 21.20; 27.00;  0
08:34:54; 21.20; 27.00;  0
08:35:04; 21.20; 28.00;  0
08:35:14; 21.20; 28.00;  0
08:35:25; 21.20; 28.00;  0
08:35:35; 21.20; 28.00;  0
08:35:46; 21.20; 27.00;  0
08:35:56; 21.20; 27.00;  0
08:36:07; 21.20; 27.00;  0
08:36:17; 21.20; 27.00;  0
08:36:27; 21.20; 27.00;  0
08:36:37; 21.20; 27.00;  0
08:36:48; 21.20; 27.00;  0
08:36:58; 21.20; 27.00;  0
08:37:08; 21.20; 28.00;  0
08:37:18; 21.20; 27.00;  0
08:37:29; 21.20; 27.00;  0
08:37:39; 21.20; 28.00;  0
08:37:50; 21.20; 28.00;  0
08:38:01; 21.30; 29.00;  0
08:38:11; 21.20; 27.00;  0
08:38:21; 21.20; 27.00;  0
08:38:31; 21.20; 27.00;  0
08:38:42; 21.20; 28.00;  0
08:38:52; 21.20; 28.00;  0
08:39:02; 21.10; 28.00;  0
08:39:12; 21.10; 28.00;  0
08:39:23; 21.10; 28.00;  0
08:39:33; 21.10; 28.00;  0
08:39:44; 21.10; 28.00;  0
08:39:54; 21.10; 28.00;  0
08:40:05; 21.10; 28.00;  0
08:40:15; 21.10; 28.00;  0
08:40:25; 21.10; 28.00;  0
08:40:35; 21.10; 28.00;  0
08:40:46; 21.10; 28.00;  0
08:40:56; 21.10; 28.00;  0
08:41:06; 21.20; 28.00;  0
08:41:16; 21.20; 28.00;  0
08:41:27; 21.20; 28.00;  0
08:41:37; 21.20; 28.00;  0
08:41:48; 21.20; 28.00;  0
08:41:58; 21.30; 29.00;  0
08:42:09; 21.20; 28.00;  0
08:42:19; 21.30; 29.00;  0
08:42:29; 21.20; 28.00;  0
08:42:39; 21.30; 29.00;  0
08:42:50; 21.30; 29.00;  0
08:43:00; 21.20; 28.00;  0
08:43:10; 21.30; 29.00;  0
08:43:20; 21.30; 29.00;  0
08:43:31; 21.40; 29.00;  0
08:43:42; 21.30; 28.00;  0
08:43:52; 21.40; 28.00;  0
08:44:03; 21.40; 28.00;  0
08:44:13; 21.40; 28.00;  0
08:44:23; 21.40; 28.00;  0
08:44:33; 21.40; 28.00;  0
08:44:44; 21.40; 28.00;  0
08:44:54; 21.40; 28.00;  0
08:45:04; 21.40; 28.00;  0
08:45:14; 21.40; 28.00;  0
08:45:25; 21.40; 28.00;  0
08:45:35; 21.40; 28.00;  0
08:45:46; 21.40; 28.00;  0
08:45:56; 21.40; 28.00;  0
08:46:06; 21.30; 28.00;  0
08:46:16; 21.30; 28.00;  0
08:46:27; 21.30; 28.00;  0
08:46:37; 21.40; 28.00;  0
08:46:48; 21.30; 29.00;  0
08:46:58; 21.30; 28.00;  0
08:47:09; 21.30; 28.00;  0
08:47:19; 21.30; 28.00;  0
08:47:29; 21.30; 29.00;  0
08:47:39; 21.30; 29.00;  0
08:47:50; 21.20; 28.00;  0
08:48:00; 21.20; 28.00;  0
08:48:10; 21.30; 29.00;  0
08:48:20; 21.20; 28.00;  0
08:48:31; 21.30; 29.00;  0
08:48:42; 21.20; 28.00;  0
08:48:52; 21.20; 28.00;  0
08:49:03; 21.20; 28.00;  0
08:49:13; 21.30; 29.00;  0
08:49:23; 21.30; 29.00;  0
08:49:33; 21.30; 29.00;  0
08:49:44; 21.30; 29.00;  0
08:49:54; 21.30; 29.00;  0
08:50:04; 21.30; 29.00;  0
08:50:14; 21.30; 29.00;  0
08:50:25; 21.30; 29.00;  0
08:50:35; 21.30; 29.00;  0
08:50:46; 21.30; 29.00;  0
08:50:56; 21.30; 29.00;  0
08:51:07; 21.30; 29.00;  0
08:51:17; 21.40; 29.00;  0
08:51:27; 21.40; 29.00;  0
08:51:37; 21.30; 29.00;  0
08:51:48; 21.40; 29.00;  0
08:51:58; 21.30; 29.00;  0
08:52:08; 21.40; 29.00;  0
08:52:18; 21.40; 29.00;  0
08:52:29; 21.40; 28.00;  0
08:52:39; 21.40; 28.00;  0
08:52:50; 21.40; 28.00;  0
08:53:01; 21.50; 28.00;  0
08:53:11; 21.50; 28.00;  0
08:53:21; 21.50; 28.00;  0
08:53:31; 21.40; 28.00;  0
08:53:42; 21.40; 28.00;  0
08:53:52; 21.40; 28.00;  0
08:54:02; 21.40; 28.00;  0
08:54:12; 21.40; 28.00;  0
08:54:23; 21.40; 28.00;  0
08:54:33; 21.40; 28.00;  0
08:54:44; 21.40; 28.00;  0
08:54:54; 21.40; 28.00;  0
08:55:05; 21.40; 28.00;  0
08:55:15; 21.30; 29.00;  0
08:55:25; 21.40; 29.00;  0
08:55:35; 21.30; 29.00;  0
08:55:46; 21.40; 28.00;  0
08:55:56; 21.30; 29.00;  0
08:56:06; 21.40; 29.00;  0
08:56:16; 21.40; 29.00;  0
08:56:27; 21.30; 29.00;  0
08:56:37; 21.40; 29.00;  0
08:56:48; 21.40; 29.00;  0
08:56:58; 21.50; 28.00;  0
08:57:09; 21.40; 28.00;  0
08:57:19; 21.50; 28.00;  0
08:57:29; 21.50; 28.00;  0
08:57:39; 21.60; 28.00;  0
08:57:50; 21.60; 28.00;  0
08:58:00; 21.60; 28.00;  0
08:58:10; 21.60; 28.00;  0
08:58:20; 21.60; 28.00;  0
08:58:31; 21.60; 28.00;  0
08:58:42; 21.60; 28.00;  0
08:58:52; 21.60; 28.00;  0
08:59:03; 21.60; 28.00;  0
08:59:13; 21.60; 28.00;  0
08:59:23; 21.60; 28.00;  0
08:59:33; 21.60; 28.00;  0
08:59:44; 21.60; 28.00;  0
08:59:54; 21.60; 28.00;  0
09:00:04; 21.50; 28.00;  0
09:00:14; 21.60; 28.00;  0
09:00:25; 21.60; 28.00;  0
09:00:35; 21.60; 28.00;  0
